doc_id,title,source,source_url,source_type,destination,country,language,category,content_summary,key_facts,use_for_rag
ART011,Paris Travel Guide: Culture and Museums,Parisinfo (Official),https://www.parisinfo.com,official_tourism,Paris,France,English,culture,"Paris is one of the world's foremost cultural capitals, home to an extraordinary concentration of world-class museums and historic monuments. The Louvre is the world's most visited art museum, housing works including the Mona Lisa and Venus de Milo. The Musée d'Orsay holds the finest collection of Impressionist art, including works by Monet, Renoir, and Van Gogh. Notre-Dame Cathedral, under major restoration after the 2019 fire, reopened in late 2024. Montmartre, with Sacré-Cœur Basilica, offers panoramic views and a bohemian artistic history. The Eiffel Tower remains the city's most recognizable symbol and offers views from three levels. Le Marais combines historic Jewish culture, LGBTQ+ scene, and contemporary art galleries.","top museums: Louvre, Musée d'Orsay, Centre Pompidou, Rodin Museum;Notre-Dame Cathedral reopened in late 2024 after fire restoration;Eiffel Tower has three levels with different view experiences;Montmartre has artistic heritage and panoramic city views;Le Marais blends history, LGBTQ+ culture, and contemporary art;Paris Museum Pass covers 50+ museums and monuments;many museums are free on the first Sunday of each month",yes
ART012,Paris Food Culture Guide,Lonely Planet,https://www.lonelyplanet.com/destinations/france/paris,travel_guide,Paris,France,English,food,"Parisian food culture is inseparable from the city's identity. Breakfast at a sidewalk café with a croissant and café au lait is a morning ritual for locals and visitors alike. The city has an exceptional boulangerie (bakery) culture with baguettes and pastries available on every street. Classic bistro dishes include steak-frites, French onion soup, croque monsieur, and duck confit. Canal Saint-Martin and Le Marais host numerous independent restaurants and wine bars popular with younger Parisians. A picnic along the Seine with cheese, wine, and a baguette is both affordable and authentically Parisian. The city holds more Michelin-starred restaurants than any other city in the world.","classic dishes: croissant, steak-frites, French onion soup, croque monsieur, duck confit;Paris has the most Michelin-starred restaurants of any city;picnics along the Seine are a popular local tradition;boulangeries are found every few blocks across the city;Canal Saint-Martin and Marais are trendy food neighbourhoods;wine is central to dining culture — ask for house wine (pichet) to save money;café culture revolves around lingering over coffee rather than rushing",yes
ART013,Tunis Culture and Medina Guide,Lonely Planet,https://www.lonelyplanet.com/articles/best-places-to-visit-in-tunisia,travel_guide,Tunis,Tunisia,English,culture,"Tunis blends Maghrebi, Mediterranean, and European influences into a rich and layered urban culture. The city's medieval Medina, designated a UNESCO World Heritage Site, is a vibrant hub of commerce and daily life featuring the Al-Zaytuna Mosque, covered souks, and beautifully restored dars (traditional mansions). Sidi Bou Saïd, a clifftop village of blue-and-white architecture, is a short train ride away and is one of Tunisia's most photographed spots. The Bardo National Museum holds the world's largest collection of ancient Roman mosaics. Carthage ruins, located 15 minutes from the city centre, include the Antonine Baths and the Tophet sanctuary.","UNESCO Medina contains Al-Zaytuna Mosque, souks organized by trade, and historic dars;Bardo National Museum has the world's largest collection of Roman mosaics;Sidi Bou Saïd village is blue-and-white and perched on a cliff above the sea;Carthage ruins (Antonine Baths, amphitheatre) are 15 minutes from the city;La Marsa coastal suburb is relaxed and café-rich;Tunis has fewer tourist crowds than Marrakech or Istanbul;Arabic and French are the main languages; English is limited outside tourist areas",yes
ART014,Tunis Food and Transport Guide,GoWithGuide,https://gowithguide.com/blog/15-best-things-to-do-in-tunis-tunisia-complete-travel-guide-for-visitors-5949,travel_guide,Tunis,Tunisia,English,food,"Tunisian cuisine reflects the country's crossroads position between North Africa, the Mediterranean, and the Middle East. Must-try dishes in Tunis include brik (a crispy fried pastry filled with egg and tuna), lablabi (a hearty chickpea stew poured over bread), fricassé (a fried sandwich with tuna, harissa, and potatoes), and couscous with lamb or fish. Bambalouni, a sugary deep-fried doughnut, is a signature street snack in Sidi Bou Saïd. Cash is essential as card payments are rarely accepted even in restaurants. The Tunisian Dinar (TND) is a closed currency that cannot be obtained outside Tunisia; exchange at the airport on arrival.","signature dishes: brik (egg pastry), lablabi (chickpea stew), fricassé (fried tuna sandwich), couscous;bambalouni doughnuts are iconic in Sidi Bou Saïd;TGM light rail connects central Tunis to Sidi Bou Saïd, Carthage, and La Marsa;Bolt app works for ride-hailing; yellow taxis use meters;TND is a closed currency — exchange at airport on arrival;cash is essential as most places do not accept cards;traditional fine dining available inside restored Medina mansions (dars)",yes
ART015,Tokyo Food and Dining Guide,GO TOKYO (Official),https://www.gotokyo.org/en/see-and-do/drinking-and-dining/index.html,official_tourism,Tokyo,Japan,English,food,"Tokyo is one of the world's supreme food destinations, with more Michelin-starred restaurants than any other city. The city offers everything from Tsukiji Outer Market sushi breakfasts and steaming bowls of ramen to traditional tempura and wagyu beef. Neighbourhood food identities are strong: Shinjuku is a ramen hub, Tsukiji and Ginza are best for sushi, Asakusa for traditional tempura and soba. Izakaya bars are the backbone of social dining — casual, affordable, and convivial. Tipping is not practised in Japan. Most bars and izakaya apply a small seating charge (otoshi) and serve a small complimentary dish. An increasing number of restaurants offer English-language menus.","Tokyo has more Michelin stars than any other city in the world;key food areas: Tsukiji for sushi, Shinjuku for ramen, Asakusa for tempura and soba;izakaya bars are the backbone of Tokyo's social dining culture;tipping is not customary and may be considered rude;most bars add a seating charge (otoshi) with a small complimentary dish;English menus are increasingly common in tourist areas;street food and convenience store food are high quality and affordable",yes
ART016,Tokyo Best Time to Visit and Activities,GO TOKYO (Official),https://www.gotokyo.org/en/see-and-do/index.html,official_tourism,Tokyo,Japan,English,best_time,"Tokyo offers distinct seasonal experiences that attract different types of visitors. Spring (late March to early May) is peak season for cherry blossom (sakura) viewing, especially at Yoyogi Park, Shinjuku Gyoen, and along the Meguro River. Autumn (October–November) brings spectacular red and gold foliage (koyo) and pleasant temperatures ideal for outdoor sightseeing. Summer (June–August) is hot and humid but filled with festivals, fireworks, and open-air events. October is considered one of the most enjoyable months with mild weather and a packed cultural events calendar. Winter brings illuminations and a festive atmosphere, though tourism is lower.","cherry blossom season: late March to early April (highly recommended);autumn foliage: October–November is equally scenic;summer is hot (30°C+) and humid but full of festivals (matsuri);Sanja Matsuri festival in May is a major cultural event;Sumida River Fireworks Festival is the largest summer fireworks event;October and November are ideal for comfortable sightseeing;winter illuminations create a festive atmosphere December–January",yes
ART017,Dubai Official Travel Guide: Attractions and Culture,Visit Dubai (Official),https://www.visitdubai.com/en/plan-your-trip,official_tourism,Dubai,United Arab Emirates,English,general_guide,"Dubai blends cutting-edge modernity with Emirati cultural heritage in a way unlike any other city. The Burj Khalifa (828m) is the world's tallest building and offers observation decks on the 124th and 148th floors. The Dubai Mall, connected to the Burj, is one of the largest shopping centres in the world. Al Fahidi Historic District (Al Bastakiya) preserves 19th-century wind-tower architecture and is home to the Dubai Museum. Traditional abra boats cross Dubai Creek connecting the Gold Souk and Spice Souk. Desert safaris — available as evening or overnight experiences — offer dune bashing, camel rides, and cultural dinners. Dubai Opera hosts world-class performances in the Downtown area.","Burj Khalifa is 828m tall with observation decks on floors 124 and 148;Dubai Mall is one of the largest malls in the world;Al Fahidi District preserves traditional Emirati wind-tower architecture;Gold Souk and Spice Souk are in Deira, accessible by abra boat across Dubai Creek;desert safaris available as half-day, evening, or overnight experiences;Dubai Metro covers key tourist zones including Downtown and Marina;alcohol is served only in licensed hotels, restaurants, and clubs",yes
ART018,Dubai Best Time to Visit and Safety,Visit Dubai (Official),https://www.visitdubai.com/en/travel-advisory,official_tourism,Dubai,United Arab Emirates,English,safety,"The best time to visit Dubai is between November and March when temperatures range from 20–30°C, making outdoor activities, beach visits, and sightseeing comfortable. Summer months (June–September) see extreme heat reaching 40–45°C, though indoor attractions and discounted hotel rates can be appealing. Dubai consistently ranks among the world's safest cities for tourists with very low crime rates. The tourist helpline is 800-DUBAI (800-382-24) and emergency services are reached at 999. Dress modestly in public spaces and traditional areas. Public eating and drinking are restricted during Ramadan daylight hours. Alcohol is served only in licensed venues.","best months to visit: November to March (20–30°C);summer (June–Sept): extreme heat 40–45°C but discounted prices;Dubai is consistently ranked among the world's safest tourist cities;emergency number: 999; tourist helpline: 800-382-24;dress modestly in public areas and traditional souks;alcohol is only available in licensed venues (hotels, clubs, restaurants);credit cards are widely accepted; free WiFi in malls and metro;citizens of 48+ countries get 90-day visa-free entry",yes
ART019,Bali Culture and Spiritual Life,Indonesia Official Tourism,https://www.indonesia.travel/gb/en/destinations/bali-nusa-tenggara/bali,official_tourism,Bali,Indonesia,English,culture,"Bali is often called the Island of the Gods, reflecting the central role of Balinese Hinduism in everyday life. Daily offerings (canang sari) of flowers, incense, and food are placed at household temples, shrines, and businesses every morning. The island has over 10,000 temples, and ceremonies are a frequent and public part of life. Ubud is the cultural and artistic heart of Bali, renowned for traditional dance performances, silver and batik workshops, and its role as a hub for yoga and wellness retreats. The Tegallalang rice terraces near Ubud are a UNESCO-recognized cultural landscape. Uluwatu Temple, perched on dramatic sea cliffs, hosts the legendary Kecak fire dance at sunset.","Balinese Hinduism shapes every aspect of daily life with daily offerings (canang sari);over 10,000 temples on the island — dress respectfully when visiting (sarong required);Ubud is the cultural hub for arts, dance, yoga, and wellness;Tegallalang rice terraces are a UNESCO cultural landscape;Uluwatu Temple hosts Kecak fire dance performances at sunset;Nyepi (Day of Silence) is Bali's unique New Year — the entire island shuts down;traditional Balinese dance is a UNESCO Intangible Cultural Heritage",yes
ART020,Bali Best Time to Visit and Transport,Rough Guides,https://www.roughguides.com/indonesia/bali/,travel_guide,Bali,Indonesia,English,transport,"Bali has a tropical climate with two main seasons. The dry season (April–October) is the recommended time to visit, with July and August being peak months for weather and crowds. April to June and September to October offer the best balance of good weather and fewer visitors. The rainy season (November–March) brings heavy afternoon showers but lower prices and a lush green landscape. Getting around Bali is best done by renting a scooter (for experienced riders) or hiring a private driver, as public transport is limited. The Grab ride-hailing app operates in major southern areas. Kura-Kura tourist buses run between south Bali hubs and Ubud. Ngurah Rai International Airport in Denpasar serves the island.","dry season: April–October (best time to visit);peak months: July–August (most crowded and expensive);shoulder seasons: April–June and Sept–Oct recommended;rainy season: November–March with heavy afternoon downpours;private driver hire is the most flexible and comfortable transport option;Grab app works in southern Bali (Kuta, Seminyak, Canggu, Ubud);scooter rental is common but requires care on busy roads;Ngurah Rai International Airport (DPS) is the main gateway",yes
